frame,t,zone,n_obs,status,x,y,theta_deg,dist_plate,car_emblem,door_handle,fuel_cap,license_plate,side_mirror,tail_light
225,7.5,측면,3,track(3),-1.075,-2.617,43.5,,0,2,0,0,1,0
226,7.53,측면,3,track(3),-1.071,-2.616,43.6,,0,2,0,0,1,0
227,7.57,측면,3,track(3),-1.068,-2.614,43.6,,0,2,0,0,1,0
228,7.6,측면,3,track(3),-1.064,-2.613,43.7,,0,2,0,0,1,0
229,7.63,측면,3,track(3),-1.061,-2.612,43.7,,0,2,0,0,1,0
230,7.67,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
231,7.7,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
232,7.73,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
233,7.77,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
234,7.8,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
235,7.83,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
236,7.87,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
237,7.9,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
238,7.93,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
239,7.97,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
240,8.0,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
241,8.03,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
242,8.07,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
243,8.1,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
244,8.13,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
245,8.17,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
246,8.2,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
247,8.23,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
248,8.27,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
249,8.3,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
250,8.33,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
251,8.37,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
252,8.4,측면,2,weak(2),-1.061,-2.612,43.7,,0,1,0,0,1,0
